id,name,reference,mandatory
"phg.optic_naming_characteristics","Optic Naming Characteristics","SC-9314",""
"LAMPPOWER","Lamp power","IF-1590;COMF-2846;IF-1133;IF-1870;IF-2177;IF-1598;IF-1630;IF-1588;IF-1055;IF-1583;IF-1575;IF-1004;IF-1593;IF-1145;IF-1631;IF-1111;IF-2662;PG-44420;IF-1059;IF-2344;PG-7100892;IF-1585;PG-7097418;IF-2606;IF-1574;IF-1587;PG-44450;PG-44432;IF-61625;IF-1871;PG-6857680;PG-44577;PG-7099782;IF-2372;IF-1595;IF-2374;IF-1043;IF-1592;IF-1581;IF-1607;IF-1054;PG-44553;PG-6861934;IF-1191;PG-7097420;PG-6857908;PG-7141621;PG-44438;PG-6869112;PG-7100900;IF-2347;PG-44545;IF-1576;IF-1597;IF-1594;IF-2337;PG-44416;IF-1596;PG-44557;IF-1567;IF-1192;IF-2003;PG-44454;PG-6861156;IF-1578;PG-44561;PG-7100902;IF-2042;PG-44549;IF-1243;IF-1017;IF-2664;IF-1591;IF-45781;IF-2164;IF-2377;IF-3081;IF-2502;IF-1353;IF-1052;IF-1018;PG-7097422;PG-44501;IF-1028;IF-1190;IF-1197;IF-2582;PG-44462;IF-2375;PG-44466;IF-2607;PG-7100894;IF-1584;IF-2339;PG-44478;IF-1577;IF-1580;PG-44458;IF-1019;IF-1189;IF-1106;PG-44446;PG-44573;IF-1615;IF-1163;IF-1589;IF-2348;FP-910403630325;IF-2558;IF-1586;CAT-316024",""
"xUCDM.DTN","DTN","",""
"EFCACYFCT","Efficacy Factor","",""
"STEP.XUCDM.ZRCC.ZZCODE.EOC8","EOC8","",""
"phg.visuals","Visuals to be Generated","SC-9314",""
"CTRLWIRLEN","Control Wire Length","",""
"LP_CSI_LOCCOD","Local order code","",""
"GEOMETRY","Geometry","IF-1196;IF-2020;IF-1194;PG-6744834;IF-3079;IF-2028;PG-6804851;IF-2025;IF-1056;IF-61690;IF-2016;PG-44609;IF-2018;IF-2030;PG-6775339;IF-1197;IF-2133;IF-6576299;HOU-7206403;IF-2021;IF-6599627;IF-2029;PG-44448;IF-32594;IF-32593;IF-1053;IF-1195",""
"xUCDM.FP.OverrideParents.PathById.OEM","xUCDM.FP.OverrideParents.PathById.OEM","",""
"EMERGACC","Emergency lighting accessories","",""
"phg.housing_naming_characteristics","Housing Naming Characteristics","SC-9314",""
"xUCDM.FP.OverrideParents.Name","xUCDM.FP.OverrideParents.Name","",""
"STRIK1KA","Strikes At 1 kA (Common/Differential)","",""
"pho.nopl","Number of Parallel Lamps","SC-9314",""
"xUCDM.FP.OverrideParents.COMFAMCODE_MSG","xUCDM.FP.OverrideParents.COMFAMCODE_MSG","",""
"xUCDM.CF.PathById.PROF","xUCDM.CF.PathById.PROF","",""
"TOTHEIGHT","Overall height","","CAT-44365 (Prof. Europe Indoor Luminaires);CAT-44366 (Prof. Europe Outdoor Luminaires)"
"MAXLMPWR","Maximum lamp power","",""
"xUCDM.CONFIG.LOCALE","xUCDM.CONFIG.LOCALE","",""
